2021-12-26 20:12:752 INFO  CasualDress :59 - click on close :[[ChromeDriver: chrome on WINDOWS (e0cb35f4faf6f497037bea6042ea63d4)] -> xpath: //a[@class='ajax_cart_block_remove_link']]
2021-12-26 20:12:807 INFO  ProductOrderPage :47 - delete messageProxy element for: DefaultElementLocator 'By.xpath: //p[contains(text(),'Your shopping cart is empty.')]'
2021-12-26 22:12:976 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-26 22:12:531 INFO  SignInPage :30 - enter email:[[ChromeDriver: chrome on WINDOWS (e3e241818dd4368fbcb896488ae5b2bd)] -> id: email_create]
2021-12-26 22:12:729 INFO  SignInPage :35 - click on button[[ChromeDriver: chrome on WINDOWS (e3e241818dd4368fbcb896488ae5b2bd)] -> id: SubmitCreate]
2021-12-26 22:12:391 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-26 22:12:236 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-26 22:12:699 INFO  SignInPage :30 - enter email:[[ChromeDriver: chrome on WINDOWS (e70a2da14b0e8067074765ba94f080ff)] -> id: email_create]
2021-12-26 22:12:894 INFO  SignInPage :35 - click on button[[ChromeDriver: chrome on WINDOWS (e70a2da14b0e8067074765ba94f080ff)] -> id: SubmitCreate]
2021-12-26 22:12:34 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-26 22:12:85 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (bbfb01731d1a114918d78b302fb0ea42)] -> id: email_create]
2021-12-26 22:12:328 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (bbfb01731d1a114918d78b302fb0ea42)] -> id: SubmitCreate]
2021-12-26 22:12:613 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-26 22:12:432 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (5dd5e9ffca86ecdb00f8c85da913cff5)] -> id: email_create]
2021-12-26 22:12:593 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (5dd5e9ffca86ecdb00f8c85da913cff5)] -> id: SubmitCreate]
2021-12-26 22:12:866 INFO  ManageDriver :34 - Launching Chrome Browser
