2021-12-28 15:12:169 INFO  CreateAccountPage :113 - Selecting day :[[ChromeDriver: chrome on WINDOWS (9e900b3c93523d4b635e091479eb8541)] -> xpath: //select[@id='days']]
2021-12-28 15:12:401 INFO  CreateAccountPage :120 - Selecting month :[[ChromeDriver: chrome on WINDOWS (9e900b3c93523d4b635e091479eb8541)] -> xpath: //select[@id='months']]
2021-12-28 15:12:656 INFO  CreateAccountPage :127 - Selecting year :[[ChromeDriver: chrome on WINDOWS (9e900b3c93523d4b635e091479eb8541)] -> xpath: //select[@id='years']]
2021-12-28 15:12:185 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 16:12:816 INFO  ManageDriver :34 - Launching Chrome Browser
2021-12-28 16:12:675 INFO  SignInPage :32 - enter email:[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> id: email_create]
2021-12-28 16:12:795 INFO  SignInPage :37 - click on button[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> id: SubmitCreate]
2021-12-28 16:12:781 INFO  CreateAccountPage :79 - Select option :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //label[@for='id_gender2']]
2021-12-28 16:12:922 INFO  CreateAccountPage :87 - Entering Customer first name :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 16:12:57 INFO  CreateAccountPage :93 - Entering customer last name :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //input[@id='customer_lastname']]
2021-12-28 16:12:466 INFO  CreateAccountPage :105 - Entering password :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //input[@id='passwd']]
2021-12-28 16:12:767 INFO  CreateAccountPage :113 - Selecting day :[[ChromeDriver: chrome on WINDOWS (ff06fd05157b5c65176cf4ff85f0292d)] -> xpath: //select[@id='days']]
